slug,slug_number,original_url,final_url,page_title,business_name,business_type,location_info,contact_info,services,specializations,business_description,operating_hours,pricing_info,redirect_info,widget_business_slug,page_structure,meta_data,business_indicators,error_indicators,content_quality,social_media,images_count,load_time,content_length,collected_at,error_type,error_message
MTAwMA==,1000,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,undefined,,IV Therapy/Wellness,"['09722', '16667', '68811', '63672', '76505', '17590', '29761', '48918', '51254', '39931']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://wsrv.nl/?url=undefined&amp', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://vsdigitalprod.blob.core.windows.net/vsdigital', 'http://www.w3.org/2000/svg']}",,,,,,Redirects to generic widget,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': True, 'has_location': False, 'script_count': 7, 'style_count': 10, 'image_count': 2, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",1,2,Medium,,2,4.56,31647,2025-06-24T22:38:33.029554,,
MTAwMQ==,1001,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMQ==,,,IV Therapy/Wellness,"['68811', '63672', '76505', '17590', '29761', '51254', '83647', '45105', '71689', '54410']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,1.4,33649,2025-06-24T22:38:34.659290,,
MTAwMg==,1002,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMg==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMg==,,,IV Therapy/Wellness,"['68811', '63672', '76505', '17590', '29761', '51254', '83647', '45105', '71689', '54410']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,0.86,33649,2025-06-24T22:38:35.746966,,
MTAwMw==,1003,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMw==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwMw==,,,IV Therapy/Wellness,"['68811', '63672', '76505', '17590', '29761', '51254', '83647', '45105', '71689', '54410']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,0.87,33649,2025-06-24T22:38:36.844738,,
MTAwNA==,1004,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNA==,,,IV Therapy/Wellness,"['68811', '63672', '76505', '17590', '29761', '51254', '83647', '45105', '71689', '54410']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,0.86,33649,2025-06-24T22:38:37.930182,,
MTAwNQ==,1005,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNQ==,,,IV Therapy/Wellness,"['68811', '63672', '76505', '17590', '29761', '51254', '83647', '45105', '71689', '54410']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,1.02,33649,2025-06-24T22:38:39.177907,,
MTAwNg==,1006,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNg==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNg==,,,IV Therapy/Wellness,"['68811', '63672', '76505', '17590', '29761', '51254', '83647', '45105', '71689', '54410']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,1.04,33649,2025-06-24T22:38:40.441948,,
MTAwNw==,1007,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNw==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwNw==,,,IV Therapy/Wellness,"['68811', '63672', '76505', '17590', '29761', '51254', '83647', '45105', '71689', '54410']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,1.2,33649,2025-06-24T22:38:41.864704,,
MTAwOA==,1008,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwOA==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwOA==,,,IV Therapy/Wellness,"['68811', '63672', '76505', '17590', '29761', '51254', '83647', '45105', '71689', '54410']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,0.91,33649,2025-06-24T22:38:42.998212,,
MTAwOQ==,1009,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwOQ==,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MTAwOQ==,,,IV Therapy/Wellness,"['68811', '63672', '76505', '17590', '29761', '51254', '83647', '45105', '71689', '54410']","{'phones': ['2147483647'], 'websites': ['https://cdn.logr-ingest.com/logger', 'https://wsrv.nl/?url=&amp', 'https://jsd-widget.atlassian.com/assets/embed.js', 'https://polyfill.io/v3/polyfill.min.js?features=es2017%2Cdefault%2Ces2015%2Ces2016%2CIntl', 'https://jsd-widget.atlassian.com']}",,,,,,No redirect,,"{'has_forms': True, 'has_booking': False, 'has_services': False, 'has_pricing': False, 'has_contact': False, 'has_location': False, 'script_count': 6, 'style_count': 11, 'image_count': 0, 'link_count': 0}","{'viewport': 'width=device-width,initial-scale=1,shrink-to-fit=no,maximum-scale=1,user-scalable=no'}",0,2,Low,,0,0.96,33649,2025-06-24T22:38:44.190725,,
