slug,tested_at,enterprise_status,enterprise_business_name,enterprise_classification,enterprise_page_title,enterprise_content_length,enterprise_load_time,enterprise_url,enterprise_final_url,enterprise_business_indicators,enterprise_error_indicators,hydreight_status,hydreight_business_name,hydreight_classification,hydreight_page_title,hydreight_content_length,hydreight_load_time,hydreight_url,hydreight_final_url,hydreight_business_indicators,hydreight_error_indicators,enterprise_active,hydreight_active,both_active,either_active,primary_business_name,primary_platform
Mjk3,2025-06-28T21:39:10.492122,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,8.71284294128418,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mjk3,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.238434076309204,https://booking.hydreight.com/b/Mjk3,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
Mjk4,2025-06-28T21:39:23.561055,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,5.288633108139038,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mjk4,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.671772241592407,https://booking.hydreight.com/b/Mjk4,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
Mjk5,2025-06-28T21:39:38.714785,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,8.165406942367554,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mjk5,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.880320072174072,https://booking.hydreight.com/b/Mjk5,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MzAw,2025-06-28T21:39:53.253380,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,7.627969980239868,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzAw,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.8021581172943115,https://booking.hydreight.com/b/MzAw,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MzAx,2025-06-28T21:40:06.985624,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.688202857971191,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzAx,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.939146041870117,https://booking.hydreight.com/b/MzAx,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MzAy,2025-06-28T21:40:28.010782,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,10.035392999649048,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzAy,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,10.882814884185791,https://booking.hydreight.com/b/MzAy,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MzAz,2025-06-28T21:40:43.966364,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,8.634484767913818,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzAz,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.212767839431763,https://booking.hydreight.com/b/MzAz,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MzA0,2025-06-28T21:40:58.399590,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,7.067479848861694,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzA0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ACTIVE,Keta-Kare Infusion Therapy,ACTIVE_BUSINESS,Keta-Kare Infusion Therapy,33753,7.260540246963501,https://booking.hydreight.com/b/MzA0,https://booking.hydreight.com/b/MzA0,5,1,False,True,False,True,Keta-Kare Infusion Therapy,Hydreight
MzA1,2025-06-28T21:41:11.649398,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.748041868209839,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzA1,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,6.393302917480469,https://booking.hydreight.com/b/MzA1,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
MzA2,2025-06-28T21:41:25.345153,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31648,6.555346965789795,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzA2,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,1,2,ERROR_PAGE,,UNDEFINED_TITLE_OR_ERROR_INDICATORS,undefined,31260,7.0327229499816895,https://booking.hydreight.com/b/MzA2,https://booking.hydreight.com/widget,2,2,False,False,False,False,,None
